name;img_local_url;store
Сыр Liebendorf Сливочный плавленый пастообразный 55% БЗМЖ 400г;C:\Users\admin\Desktop\Learning\Magister\Semester_2\Data EDA\lab1\Пятерочка\Сыр Liebendorf Сливочный плавленый пастообразный 55% БЗМЖ 400г.jpeg;Пятерочка
Сыр Liebendorf Маасдам полутвердый 45% БЗМЖ;C:\Users\admin\Desktop\Learning\Magister\Semester_2\Data EDA\lab1\Пятерочка\Сыр Liebendorf Маасдам полутвердый 45% БЗМЖ.jpeg;Пятерочка
Сыр Hochland Ассорти сливочный, с ветчиной, с грибами плавленый 55% БЗМЖ 140г;C:\Users\admin\Desktop\Learning\Magister\Semester_2\Data EDA\lab1\Пятерочка\Сыр Hochland Ассорти сливочный, с ветчиной, с грибами плавленый 55% БЗМЖ 140г.jpeg;Пятерочка
Сыр творожный Liebendorf сливочный 60% БЗМЖ 140г;C:\Users\admin\Desktop\Learning\Magister\Semester_2\Data EDA\lab1\Пятерочка\Сыр творожный Liebendorf сливочный 60% БЗМЖ 140г.jpeg;Пятерочка
Сыр Montarell Бри мягкий 60% БЗМЖ 125г;C:\Users\admin\Desktop\Learning\Magister\Semester_2\Data EDA\lab1\Пятерочка\Сыр Montarell Бри мягкий 60% БЗМЖ 125г.jpeg;Пятерочка
Сыр Савушкин Sveza Моцарелла мягкий 45% БЗМЖ 250г;C:\Users\admin\Desktop\Learning\Magister\Semester_2\Data EDA\lab1\Пятерочка\Сыр Савушкин Sveza Моцарелла мягкий 45% БЗМЖ 250г.jpeg;Пятерочка
Сыр Liebendorf Чизбургер плавленый 45% БЗМЖ 130г;C:\Users\admin\Desktop\Learning\Magister\Semester_2\Data EDA\lab1\Пятерочка\Сыр Liebendorf Чизбургер плавленый 45% БЗМЖ 130г.jpeg;Пятерочка
Сыр Montarell Камамбер мягкий 45% БЗМЖ 125г;C:\Users\admin\Desktop\Learning\Magister\Semester_2\Data EDA\lab1\Пятерочка\Сыр Montarell Камамбер мягкий 45% БЗМЖ 125г.jpeg;Пятерочка
Сыр Hochland С зеленью творожный 60% БЗМЖ 220г;C:\Users\admin\Desktop\Learning\Magister\Semester_2\Data EDA\lab1\Пятерочка\Сыр Hochland С зеленью творожный 60% БЗМЖ 220г.jpeg;Пятерочка
Сыр Савушкин Sveza Воздушный с авокадо творожный 60% БЗМЖ 150г;C:\Users\admin\Desktop\Learning\Magister\Semester_2\Data EDA\lab1\Пятерочка\Сыр Савушкин Sveza Воздушный с авокадо творожный 60% БЗМЖ 150г.jpeg;Пятерочка
Пармезан Trattoria di Maestro Turatti твердый 40% БЗМЖ;C:\Users\admin\Desktop\Learning\Magister\Semester_2\Data EDA\lab1\Пятерочка\Пармезан Trattoria di Maestro Turatti твердый 40% БЗМЖ.jpeg;Пятерочка
Сыр Тысяча озер Легкий нарезка БЗМЖ 15% 125г;C:\Users\admin\Desktop\Learning\Magister\Semester_2\Data EDA\lab1\Пятерочка\Сыр Тысяча озер Легкий нарезка БЗМЖ 15% 125г.jpeg;Пятерочка
Сыр Белебеевский Российский 50% БЗМЖ 120г;C:\Users\admin\Desktop\Learning\Magister\Semester_2\Data EDA\lab1\Пятерочка\Сыр Белебеевский Российский 50% БЗМЖ 120г.jpeg;Пятерочка
Сыр Hochland С ветчиной плавленый 55% БЗМЖ 200г;C:\Users\admin\Desktop\Learning\Magister\Semester_2\Data EDA\lab1\Пятерочка\Сыр Hochland С ветчиной плавленый 55% БЗМЖ 200г.jpeg;Пятерочка
Сыр LiebenDorf Маасдам полутвердый нарезка БЗМЖ 150г;C:\Users\admin\Desktop\Learning\Magister\Semester_2\Data EDA\lab1\Пятерочка\Сыр LiebenDorf Маасдам полутвердый нарезка БЗМЖ 150г.jpeg;Пятерочка
Сыр плавленый Карат с луком для супа 45% БЗМЖ 90г;C:\Users\admin\Desktop\Learning\Magister\Semester_2\Data EDA\lab1\Пятерочка\Сыр плавленый Карат с луком для супа 45% БЗМЖ 90г.jpeg;Пятерочка
Сыр Liebendorf Гауда полутвердый нарезка БЗМЖ 150г;C:\Users\admin\Desktop\Learning\Magister\Semester_2\Data EDA\lab1\Пятерочка\Сыр Liebendorf Гауда полутвердый нарезка БЗМЖ 150г.jpeg;Пятерочка
Сыр Viola Бутербродный полутвердый нарезка 45% БЗМЖ 120г;C:\Users\admin\Desktop\Learning\Magister\Semester_2\Data EDA\lab1\Пятерочка\Сыр Viola Бутербродный полутвердый нарезка 45% БЗМЖ 120г.jpeg;Пятерочка
Сыр Liebendorf творожный с зеленью 60% БЗМЖ 140г;C:\Users\admin\Desktop\Learning\Magister\Semester_2\Data EDA\lab1\Пятерочка\Сыр Liebendorf творожный с зеленью 60% БЗМЖ 140г.jpeg;Пятерочка
Сыр Умалат Сулугуни палочки 45% БЗМЖ 120г;C:\Users\admin\Desktop\Learning\Magister\Semester_2\Data EDA\lab1\Пятерочка\Сыр Умалат Сулугуни палочки 45% БЗМЖ 120г.jpeg;Пятерочка
Сыр Hochland Грюнландер полутвердый 50% БЗМЖ 400г;C:\Users\admin\Desktop\Learning\Magister\Semester_2\Data EDA\lab1\Пятерочка\Сыр Hochland Грюнландер полутвердый 50% БЗМЖ 400г.jpeg;Пятерочка
Сыр Радость Вкуса Топленое молочко нарезка 45% БЗМЖ 125г;C:\Users\admin\Desktop\Learning\Magister\Semester_2\Data EDA\lab1\Пятерочка\Сыр Радость Вкуса Топленое молочко нарезка 45% БЗМЖ 125г.jpeg;Пятерочка
Сыр Liebendorf Эдам полутвердый 45% БЗМЖ;C:\Users\admin\Desktop\Learning\Magister\Semester_2\Data EDA\lab1\Пятерочка\Сыр Liebendorf Эдам полутвердый 45% БЗМЖ.jpeg;Пятерочка
Сыр Вкус & Польза Рикотта 45% БЗМЖ 180г;C:\Users\admin\Desktop\Learning\Magister\Semester_2\Data EDA\lab1\Пятерочка\Сыр Вкус & Польза Рикотта 45% БЗМЖ 180г.jpeg;Пятерочка
Сыр творожный Almette с зеленью 60% БЗМЖ 150г;C:\Users\admin\Desktop\Learning\Magister\Semester_2\Data EDA\lab1\Пятерочка\Сыр творожный Almette с зеленью 60% БЗМЖ 150г.jpeg;Пятерочка
Сыр Сыробогатов Швейцарский 45% БЗМЖ 180г;C:\Users\admin\Desktop\Learning\Magister\Semester_2\Data EDA\lab1\Пятерочка\Сыр Сыробогатов Швейцарский 45% БЗМЖ 180г.jpeg;Пятерочка
Сыр Hochland Сливочный плавленый 55% БЗМЖ 400г;C:\Users\admin\Desktop\Learning\Magister\Semester_2\Data EDA\lab1\Пятерочка\Сыр Hochland Сливочный плавленый 55% БЗМЖ 400г.jpeg;Пятерочка
Сыр Grandblu Сливочный с голубой плесенью 56% БЗМЖ 100г;C:\Users\admin\Desktop\Learning\Magister\Semester_2\Data EDA\lab1\Пятерочка\Сыр Grandblu Сливочный с голубой плесенью 56% БЗМЖ 100г.jpeg;Пятерочка
Сыр Радость вкуса Топленочка 45% БЗМЖ 180г;C:\Users\admin\Desktop\Learning\Magister\Semester_2\Data EDA\lab1\Пятерочка\Сыр Радость вкуса Топленочка 45% БЗМЖ 180г.jpeg;Пятерочка
Сыр Вкус & Польза Голландский 45% БЗМЖ;C:\Users\admin\Desktop\Learning\Magister\Semester_2\Data EDA\lab1\Пятерочка\Сыр Вкус & Польза Голландский 45% БЗМЖ.jpeg;Пятерочка
Сыр Вкус & Польза Пармезан молодой фасованный 40% БЗМЖ;C:\Users\admin\Desktop\Learning\Magister\Semester_2\Data EDA\lab1\Пятерочка\Сыр Вкус & Польза Пармезан молодой фасованный 40% БЗМЖ.jpeg;Пятерочка
Сыр Ларец с грецкими орехами 45% БЗМЖ 245г;C:\Users\admin\Desktop\Learning\Magister\Semester_2\Data EDA\lab1\Пятерочка\Сыр Ларец с грецкими орехами 45% БЗМЖ 245г.jpeg;Пятерочка
Сыр творожный Hochland овощи-гриль 60% БЗМЖ 140г;C:\Users\admin\Desktop\Learning\Magister\Semester_2\Data EDA\lab1\Пятерочка\Сыр творожный Hochland овощи-гриль 60% БЗМЖ 140г.jpeg;Пятерочка
Сыр плавленый копченый Город сыра Гурманский нарезка 40% БЗМЖ 150г;C:\Users\admin\Desktop\Learning\Magister\Semester_2\Data EDA\lab1\Пятерочка\Сыр плавленый копченый Город сыра Гурманский нарезка 40% БЗМЖ 150г.jpeg;Пятерочка
Сыр Hochland творожный для кулинарии 65% БЗМЖ 400г;C:\Users\admin\Desktop\Learning\Magister\Semester_2\Data EDA\lab1\Пятерочка\Сыр Hochland творожный для кулинарии 65% БЗМЖ 400г.jpeg;Пятерочка
Сыр Вкус & Польза Маскарпоне 80% БЗМЖ 250г;C:\Users\admin\Desktop\Learning\Magister\Semester_2\Data EDA\lab1\Пятерочка\Сыр Вкус & Польза Маскарпоне 80% БЗМЖ 250г.jpeg;Пятерочка
Сыр Violette Лосось творожный 70% БЗМЖ 140г;C:\Users\admin\Desktop\Learning\Magister\Semester_2\Data EDA\lab1\Пятерочка\Сыр Violette Лосось творожный 70% БЗМЖ 140г.jpeg;Пятерочка
Сыр Viola Маасдам полутвердый нарезка 45% БЗМЖ 120г;C:\Users\admin\Desktop\Learning\Magister\Semester_2\Data EDA\lab1\Пятерочка\Сыр Viola Маасдам полутвердый нарезка 45% БЗМЖ 120г.jpeg;Пятерочка
Сыр Экомилк творожный 60% 350г;C:\Users\admin\Desktop\Learning\Magister\Semester_2\Data EDA\lab1\Пятерочка\Сыр Экомилк творожный 60% 350г.jpeg;Пятерочка
Сыр Ecomilk Fetica греческий традиционный мягкий рассольный 40% БЗМЖ 275г;C:\Users\admin\Desktop\Learning\Magister\Semester_2\Data EDA\lab1\Пятерочка\Сыр Ecomilk Fetica греческий традиционный мягкий рассольный 40% БЗМЖ 275г.jpeg;Пятерочка
Сыр Sliiivki колбасный копченый янтарный плавленый 40% БЗМЖ;C:\Users\admin\Desktop\Learning\Magister\Semester_2\Data EDA\lab1\Пятерочка\Сыр Sliiivki колбасный копченый янтарный плавленый 40% БЗМЖ.jpeg;Пятерочка
Пармезан Dolce Granto 40% БЗМЖ 200г;C:\Users\admin\Desktop\Learning\Magister\Semester_2\Data EDA\lab1\Пятерочка\Пармезан Dolce Granto 40% БЗМЖ 200г.jpeg;Пятерочка
Сыр Умалат Сулугуни молодой слоистый 45% БЗМЖ 200г;C:\Users\admin\Desktop\Learning\Magister\Semester_2\Data EDA\lab1\Пятерочка\Сыр Умалат Сулугуни молодой слоистый 45% БЗМЖ 200г.jpeg;Пятерочка
Сыр Sambiel с голубой плесенью 50% БЗМЖ 100г;C:\Users\admin\Desktop\Learning\Magister\Semester_2\Data EDA\lab1\Пятерочка\Сыр Sambiel с голубой плесенью 50% БЗМЖ 100г.jpeg;Пятерочка
Сыр Liebendorf с грибами плавленый 55% БЗМЖ 400г;C:\Users\admin\Desktop\Learning\Magister\Semester_2\Data EDA\lab1\Пятерочка\Сыр Liebendorf с грибами плавленый 55% БЗМЖ 400г.jpeg;Пятерочка
Сыр Delissir Хоритаки плавленый 30% БЗМЖ 180г;C:\Users\admin\Desktop\Learning\Magister\Semester_2\Data EDA\lab1\Пятерочка\Сыр Delissir Хоритаки плавленый 30% БЗМЖ 180г.jpeg;Пятерочка
Сыр плавленый Viola с лисичками 50% БЗМЖ 200г;C:\Users\admin\Desktop\Learning\Magister\Semester_2\Data EDA\lab1\Пятерочка\Сыр плавленый Viola с лисичками 50% БЗМЖ 200г.jpeg;Пятерочка
Сыр Hochland Grunlander Чеддер полутвердый нарезка 50% БЗМЖ 130г;C:\Users\admin\Desktop\Learning\Magister\Semester_2\Data EDA\lab1\Пятерочка\Сыр Hochland Grunlander Чеддер полутвердый нарезка 50% БЗМЖ 130г.jpeg;Пятерочка
Сыр Вкус & Польза Страчателла мягкий 50% БЗМЖ 200г;C:\Users\admin\Desktop\Learning\Magister\Semester_2\Data EDA\lab1\Пятерочка\Сыр Вкус & Польза Страчателла мягкий 50% БЗМЖ 200г.jpeg;Пятерочка
Сыр Сырцееды копченый 30% БЗМЖ 23г;C:\Users\admin\Desktop\Learning\Magister\Semester_2\Data EDA\lab1\Пятерочка\Сыр Сырцееды копченый 30% БЗМЖ 23г.jpeg;Пятерочка
Сыр Вкус & Польза Буррата мягкий 50% БЗМЖ 380г;C:\Users\admin\Desktop\Learning\Magister\Semester_2\Data EDA\lab1\Пятерочка\Сыр Вкус & Польза Буррата мягкий 50% БЗМЖ 380г.jpeg;Пятерочка
Сыр полутвердый ЭкоНива Тильзитер 50% БЗМЖ 400г;C:\Users\admin\Desktop\Learning\Magister\Semester_2\Data EDA\lab1\Пятерочка\Сыр полутвердый ЭкоНива Тильзитер 50% БЗМЖ 400г.jpeg;Пятерочка
Сыр Село Зеленое Гауда Премиум 40% БЗМЖ 160г;C:\Users\admin\Desktop\Learning\Magister\Semester_2\Data EDA\lab1\Пятерочка\Сыр Село Зеленое Гауда Премиум 40% БЗМЖ 160г.jpeg;Пятерочка
Сыр Emandhof Hard extra 40% БЗМЖ;C:\Users\admin\Desktop\Learning\Magister\Semester_2\Data EDA\lab1\Пятерочка\Сыр Emandhof Hard extra 40% БЗМЖ.jpeg;Пятерочка
Сыр Vitalat Перлини копченый 40% БЗМЖ 100г;C:\Users\admin\Desktop\Learning\Magister\Semester_2\Data EDA\lab1\Пятерочка\Сыр Vitalat Перлини копченый 40% БЗМЖ 100г.jpeg;Пятерочка
Сыр Excelsior Sardo 45% БЗМЖ 180г;C:\Users\admin\Desktop\Learning\Magister\Semester_2\Data EDA\lab1\Пятерочка\Сыр Excelsior Sardo 45% БЗМЖ 180г.jpeg;Пятерочка
Сыр Hochland С грибами плавленый 35% БЗМЖ 100г;C:\Users\admin\Desktop\Learning\Magister\Semester_2\Data EDA\lab1\Пятерочка\Сыр Hochland С грибами плавленый 35% БЗМЖ 100г.jpeg;Пятерочка
Сыр President Камамбер мягкий с белой плесенью 45% БЗМЖ 125г;C:\Users\admin\Desktop\Learning\Magister\Semester_2\Data EDA\lab1\Пятерочка\Сыр President Камамбер мягкий с белой плесенью 45% БЗМЖ 125г.jpeg;Пятерочка
Сыр Oldenburger Protein с грецким орехом нарезка 30% БЗМЖ 125г;C:\Users\admin\Desktop\Learning\Magister\Semester_2\Data EDA\lab1\Пятерочка\Сыр Oldenburger Protein с грецким орехом нарезка 30% БЗМЖ 125г.jpeg;Пятерочка
Сыр Almette с белыми грибами творожный 60% БЗМЖ 150г;C:\Users\admin\Desktop\Learning\Magister\Semester_2\Data EDA\lab1\Пятерочка\Сыр Almette с белыми грибами творожный 60% БЗМЖ 150г.jpeg;Пятерочка
Сыр Endorf Tulyere твердый 50% БЗМЖ 200г;C:\Users\admin\Desktop\Learning\Magister\Semester_2\Data EDA\lab1\Пятерочка\Сыр Endorf Tulyere твердый 50% БЗМЖ 200г.jpeg;Пятерочка
Сыр Истринская сыроварня Олега Сироты Губернаторский 50% БЗМЖ;C:\Users\admin\Desktop\Learning\Magister\Semester_2\Data EDA\lab1\Пятерочка\Сыр Истринская сыроварня Олега Сироты Губернаторский 50% БЗМЖ.jpeg;Пятерочка
Сыр Natura Сливочный нарезка 45% БЗМЖ 300г;C:\Users\admin\Desktop\Learning\Magister\Semester_2\Data EDA\lab1\Пятерочка\Сыр Natura Сливочный нарезка 45% БЗМЖ 300г.jpeg;Пятерочка
Сыр President Овощи на гриле творожный 54% БЗМЖ 140г;C:\Users\admin\Desktop\Learning\Magister\Semester_2\Data EDA\lab1\Пятерочка\Сыр President Овощи на гриле творожный 54% БЗМЖ 140г.jpeg;Пятерочка
Сыр творожный Violette сливочный 70% БЗМЖ 180г;C:\Users\admin\Desktop\Learning\Magister\Semester_2\Data EDA\lab1\Пятерочка\Сыр творожный Violette сливочный 70% БЗМЖ 180г.jpeg;Пятерочка
Сыр Laplandia Сливочный фасованный полутвердый 45% БЗМЖ 180г;C:\Users\admin\Desktop\Learning\Magister\Semester_2\Data EDA\lab1\Пятерочка\Сыр Laplandia Сливочный фасованный полутвердый 45% БЗМЖ 180г.jpeg;Пятерочка
Сыр Сыробогатов Для бургера плавленый слайсы 25% БЗМЖ 112г;C:\Users\admin\Desktop\Learning\Magister\Semester_2\Data EDA\lab1\Пятерочка\Сыр Сыробогатов Для бургера плавленый слайсы 25% БЗМЖ 112г.jpeg;Пятерочка
