name;img_local_url;store
Ассорти сыров Laime Пармезан-Маасдам-Чеддер 45% БЗМЖ 120г;C:\Users\admin\Desktop\Learning\Magister\Semester_2\Data EDA\lab1\Пятерочка\Ассорти сыров Laime Пармезан-Маасдам-Чеддер 45% БЗМЖ 120г.jpeg;Пятерочка
Сыр творожный Hochland с маринованными огурцами 60% БЗМЖ 140г;C:\Users\admin\Desktop\Learning\Magister\Semester_2\Data EDA\lab1\Пятерочка\Сыр творожный Hochland с маринованными огурцами 60% БЗМЖ 140г.jpeg;Пятерочка
Сыр Cheese Gallery Маасдам нарезка 45% БЗМЖ 125г;C:\Users\admin\Desktop\Learning\Magister\Semester_2\Data EDA\lab1\Пятерочка\Сыр Cheese Gallery Маасдам нарезка 45% БЗМЖ 125г.jpeg;Пятерочка
Сыр Бонджорно Рикотта с ванилью мягкий 30% БЗМЖ 180г;C:\Users\admin\Desktop\Learning\Magister\Semester_2\Data EDA\lab1\Пятерочка\Сыр Бонджорно Рикотта с ванилью мягкий 30% БЗМЖ 180г.jpeg;Пятерочка
Сыр Kesidis Халлуми Традиционный для гриля рассольный 40% БЗМЖ 200г;C:\Users\admin\Desktop\Learning\Magister\Semester_2\Data EDA\lab1\Пятерочка\Сыр Kesidis Халлуми Традиционный для гриля рассольный 40% БЗМЖ 200г.jpeg;Пятерочка
Сыр Pretto маскарпоне 80% БЗМЖ 250г;C:\Users\admin\Desktop\Learning\Magister\Semester_2\Data EDA\lab1\Пятерочка\Сыр Pretto маскарпоне 80% БЗМЖ 250г.jpeg;Пятерочка
Сыр La Paulina Чеддер твердый 48% БЗМЖ 180г;C:\Users\admin\Desktop\Learning\Magister\Semester_2\Data EDA\lab1\Пятерочка\Сыр La Paulina Чеддер твердый 48% БЗМЖ 180г.jpeg;Пятерочка
Сыр Laime  Пармезан 40% БЗМЖ 100г;C:\Users\admin\Desktop\Learning\Magister\Semester_2\Data EDA\lab1\Пятерочка\Сыр Laime  Пармезан 40% БЗМЖ 100г.jpeg;Пятерочка
Сыр Laplandia Emmental полутвердый 45% БЗМЖ 120г;C:\Users\admin\Desktop\Learning\Magister\Semester_2\Data EDA\lab1\Пятерочка\Сыр Laplandia Emmental полутвердый 45% БЗМЖ 120г.jpeg;Пятерочка
Сыр мягкий Ришелье Бри с белой плесенью 45% БЗМЖ 125г;C:\Users\admin\Desktop\Learning\Magister\Semester_2\Data EDA\lab1\Пятерочка\Сыр мягкий Ришелье Бри с белой плесенью 45% БЗМЖ 125г.jpeg;Пятерочка
Сыр Верещагин Белпер Кнолле в черном перце твердый 50% БЗМЖ;C:\Users\admin\Desktop\Learning\Magister\Semester_2\Data EDA\lab1\Пятерочка\Сыр Верещагин Белпер Кнолле в черном перце твердый 50% БЗМЖ.jpeg;Пятерочка
Сыр Верещагин Верещагинский полутвердый 50% БЗМЖ;C:\Users\admin\Desktop\Learning\Magister\Semester_2\Data EDA\lab1\Пятерочка\Сыр Верещагин Верещагинский полутвердый 50% БЗМЖ.jpeg;Пятерочка
Сыр Верещагин Конаковский с пажитником полутвердый 50% БЗМЖ;C:\Users\admin\Desktop\Learning\Magister\Semester_2\Data EDA\lab1\Пятерочка\Сыр Верещагин Конаковский с пажитником полутвердый 50% БЗМЖ.jpeg;Пятерочка
Сыр Белебеевский Благородный Дуэт 50% БЗМЖ 120г;C:\Users\admin\Desktop\Learning\Magister\Semester_2\Data EDA\lab1\Пятерочка\Сыр Белебеевский Благородный Дуэт 50% БЗМЖ 120г.jpeg;Пятерочка
Сыр Ларец с лисичками нарезка 45% БЗМЖ 125г;C:\Users\admin\Desktop\Learning\Magister\Semester_2\Data EDA\lab1\Пятерочка\Сыр Ларец с лисичками нарезка 45% БЗМЖ 125г.jpeg;Пятерочка
